"",model_7_uw,model_10_uw,model_7_emw,model_10_emw
Dependent Var.:,enrollee_months_mil,enrollee_months_mil,enrollee_months_mil,enrollee_months_mil
 , , , , 
Constant,4.547*** (0.8181),4.572*** (0.8222),9.290*** (1.858),9.321*** (1.852)
treat,4.667 (4.824),2.903 (3.527),16.67. (8.587),13.61 (8.802)
event_time = -4,-0.2548*** (0.0593),-0.2145*** (0.0510),-0.5419*** (0.1443),-0.5284*** (0.1403)
event_time = -3,-0.1764*** (0.0449),-0.1300*** (0.0322),-0.3942** (0.1182),-0.3686** (0.1060)
event_time = -2,-0.0803*** (0.0175),-0.0493*** (0.0118),-0.1570*** (0.0318),-0.1455*** (0.0302)
event_time = 0,0.0846*** (0.0191),0.0320*** (0.0082),0.1786*** (0.0413),0.1400*** (0.0348)
event_time = 1,0.1102*** (0.0246),-0.0138 (0.0201),0.1893* (0.0792),0.0949 (0.0802)
event_time = 2,0.0024 (0.0294),-0.1524** (0.0462),-0.1320 (0.1302),-0.2518. (0.1435)
event_time = 3,-0.1635* (0.0607),-0.3111*** (0.0847),-0.5972* (0.2465),-0.7015** (0.2599)
event_time = 4,-0.3190** (0.0919),-0.4513*** (0.1115),-0.9043** (0.2997),-1.001** (0.3065)
event_time = 5,-0.4583*** (0.1136),-0.5688*** (0.1302),-1.155*** (0.2953),-1.237*** (0.3059)
event_time = 6,-0.5820*** (0.1304),-0.6668*** (0.1444),-1.350*** (0.3114),-1.418*** (0.3226)
event_time = 7,-0.6722*** (0.1478),  ,-1.502*** (0.3492),  
event_time = 8,-0.7356*** (0.1581),  ,-1.620*** (0.3645),  
event_time = 9,-0.7841*** (0.1630),  ,-1.699*** (0.3610),  
treat x event_time = -4,-0.1635 (0.2318),-0.1169 (0.1713),-0.6631 (0.4368),-0.5350 (0.4418)
treat x event_time = -3,-0.0935 (0.1541),-0.0807 (0.1132),-0.3932 (0.2980),-0.3257 (0.2970)
treat x event_time = -2,-0.0542 (0.0732),-0.0468 (0.0565),-0.2266. (0.1336),-0.1905 (0.1368)
treat x event_time = 0,0.0702 (0.0817),0.0750 (0.0628),0.2552. (0.1471),0.2381 (0.1512)
treat x event_time = 1,0.1477 (0.1454),0.1681 (0.1148),0.5716* (0.2791),0.5546. (0.2933)
treat x event_time = 2,0.1737 (0.1416),0.2059 (0.1243),0.7348* (0.2994),0.7459* (0.3155)
treat x event_time = 3,0.0879 (0.1385),0.1383 (0.1306),0.4639. (0.2746),0.5345. (0.2819)
treat x event_time = 4,0.1206 (0.2030),0.1455 (0.1770),0.5111 (0.3480),0.5840. (0.3425)
treat x event_time = 5,0.0806 (0.2796),0.1258 (0.2236),0.3939 (0.3903),0.4954 (0.3811)
treat x event_time = 6,0.1093 (0.2976),0.1507 (0.2376),0.3867 (0.4167),0.4975 (0.4104)
treat x event_time = 7,0.0653 (0.2830),  ,0.3588 (0.4071),  
treat x event_time = 8,-0.0066 (0.2706),  ,0.3751 (0.3934),  
treat x event_time = 9,-0.0582 (0.3091),  ,0.2227 (0.3822),  
_______________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: state,by: state,by: state,by: state
Observations,"1,946","2,288","1,946","2,288"
R2,0.04331,0.01863,0.32926,0.21153
Adj. R2,0.02984,0.00954,0.31982,0.20422
