brand_name,obesity_glp,fda_approval,fda_year,is_generic,total_rx,total_units,sdud_spending,nadac_per_unit,fss_per_unit,big4_per_unit,nadac_launch,cpi_ratio,basic_rebate,inflationary_rebate,total_rebate_per_unit,total_rebate_amount,net_cost
WEGOVY,1,2021-06-04,2021,0,185853,457123,242042427,529.34,503.16,409.81,528.26,1.1534,122.28,0,122.28,55895459,186146968
ZEPBOUND,1,2023-11-08,2023,0,50082,100692,51009219,511.02,410.1,396.1,509.46,1.0168,118.05,0,118.05,11886337,39122883
SAXENDA,1,2014-12-23,2014,0,4965,68482,5956231,86.74,86.34,67.21,69.23,1.3303,20.04,0,20.04,1372104,4584128
OZEMPIC,0,2017-12-05,2017,0,229312,773016,235921840,311.84,307.22,229.91,287.63,1.0877,81.91,2.47,84.38,65228817,170693023
TRULICITY,0,2014-09-18,2014,0,38708,92562,43658300,471.72,436.3,339.48,291.68,1.2942,132.24,101.28,233.53,21615431,22042869
MOUNJARO,0,2022-05-13,2022,0,33140,71690,37022313,515.86,395.85,380.03,467.13,1.0638,135.83,18.93,154.76,11094690,25927623
RYBELSUS,0,2019-09-20,2019,0,25086,1131232,35217015,31.16,30.72,22.73,24.7,1.222,8.42,0.97,9.39,10626788,24590227
VICTOZA,0,2010-01-25,2010,0,4494,36002,3172519,87.43,89.22,86.69,53.12,1.3545,20.2,15.48,35.67,1284347,1888173
BYDUREON,0,2012-01-27,2012,0,609,2473,581548,234.24,211.33,175.01,186.06,1.2554,59.23,0.65,59.88,148061,433487
SOLIQUA,0,2016-11-21,2016,0,314,4966,279549,57.1,40.93,40.53,40.41,1.2895,16.57,5,21.57,107101,172448
LIRAGLUTIDE,0,2024-01-01,2024,1,421,3244,219250,72.86,77.09,54.66,73.49,1.0022,9.47,0,9.47,30729,188521
XULTOPHY,0,2016-11-21,2016,0,84,1396,116817,82.99,72.12,59.97,61.39,1.2797,23.02,4.43,27.46,38327,78490
BYETTA,0,2005-04-28,2005,0,31,65,29822,466.25,438.9,349.58,233.73,1.3545,116.67,149.67,266.33,17258,12564
